,question_id,question,answer,section,number,company_name,company_id,version
108,109,Are procedures in place for handling Data Security/Privacy Breach?,"Not exactly sure what this is asking. We have procedures for handling data security although I feel that some data transmission has room for improvement. As far as a breach, we have an incident response plan which addresses the process in the event of a breach.",Customer Support/Customer Success,109,A SaaS Co.,1,R03.3
109,110,Are Business Continuity Plans in place?,"To some extent, but there is definitely room for improvement. Backups and hot spares of many critical pieces of infastructure are in place, and there is some colocation availability. Ultimately this is one of the major drivers for a push to cloud.",Customer Support/Customer Success,110,A SaaS Co.,1,R03.3
110,111,Provide Key Measures for availability and stability for all products and infrastructure.,"We lacking much of what I wish we had here, but we have the majority of impact addressed. Currently we measure availability and stability using uptime pings, response times, and application and server health metrics (CPU, memory, storage). We dont measure error rates or user satisfaction.",Customer Support/Customer Success,111,A SaaS Co.,1,R03.3
111,112,How is End User Documentation managed?,Currently we have a mix of internally hosted documentation that is manually shared as well as public confluence documentation.,Customer Support/Customer Success,112,A SaaS Co.,1,R03.3
112,113,How are critical maintenance items incorporated into the Product Roadmap/Release schedule?,"As they are identified, they are scheduled in based on the impact, criticality, and potential change dates. Minor items are worked into the cycles. Major items are given their own time slots/sprints.
Copyright © 2022 by KMS Technology, Inc.",Customer Support/Customer Success,113,A SaaS Co.,1,R03.3
113,114,"Describe your Product Management Organization. [Please provide any associated documentation, i.e., Organization Chart, Roles, Responsibilities & Experience.]","Ellis and E2L do not have a formal Product Management Organziation.  Ellis and E2L business leaders drive product developments and roadmap from a business standpoint communicating those priorities, scope and requirements to Intellitree (IT) who then creates a development plan.  High priority and larger project progress are discussed on a periodic interval (each week) but communication is on-going throughout the development.  The primary communication method and tracking is through github and email.  There is not a separate project management team or person.",Product and Organization Overview,1,Ellis Partners Management Solutions,2,R03.3
114,115,"Describe your Requirements Management Process. [Include all phases, ideation through selection, prioritization, and execution.]","We do not have a formal process.  The sequence of events are typically as follows:
Business Leaders identify requirements/needs that they believe will enhance the business.
The requirements are identified and the business leader who is the internal champion, contacts IT for a quote (time, resources, and material) and to review requirements and feasibility of the project.
A quote is provided where the senior leadership, typically the CEO and CSO (depending on the scope of the project) will review, discuss and approve the scope of the project.
Business leaders enter approved projects into issue tracker, and group highest priorities into the next release target.
Developers complete the changes for the next release in version control, and deploy to production as a new version.",Product and Organization Overview,2,Ellis Partners Management Solutions,2,R03.3
115,116,When were the last changes made to the Requirements Management Process?,N/A,Product and Organization Overview,3,Ellis Partners Management Solutions,2,R03.3
116,117,Please provide an overview of your short- and long-term Product Roadmap.,"The following items are on the product roadmap:
Consolidated dashboard reporting for all projects
Survey results and automated training assignments
SSO between Edge2Learn, Ellis and other consumer platforms
AI upgrade
New database server, for faster reporting and broader data collection
Fully migrate application from Windows to Linux servers
Divide application into more modular cloud-like services",Product and Organization Overview,4,Ellis Partners Management Solutions,2,R03.3
117,118,"Where do ideas for new features/enhancements come from? [Are they driven by Customers, Sales/Marketing, Technology, etc.?","Customer driven recommendations for enhancements and features,
Industry trends whether internal or external of the multifamily space.",Product and Organization Overview,5,Ellis Partners Management Solutions,2,R03.3
118,119,Are security considerations included in Feature and Roadmap planning?,"Yes, including PII and cyber considerations.",Product and Organization Overview,6,Ellis Partners Management Solutions,2,R03.3
119,120,"What metrics/analytics are in place to measure customer feature use, engagement, satisfaction, etc.?","Several metrics are used to gather engagement including login %, last login dates within 60 days, course assignments, course completions, survey response % by onsite teams, amount of training or conversations with customer accounts.",Product and Organization Overview,7,Ellis Partners Management Solutions,2,R03.3
120,121,How do you describe Customer Satisfaction Levels today?,"Very high, product innovation, customer service and consultative approach is valued by our customers.",Product and Organization Overview,8,Ellis Partners Management Solutions,2,R03.3
121,122,What are your most common customer complaints?,"Mystery shops not being completed on time, training too long and user management system for E2L is time consuming (syncing to other systems)",Product and Organization Overview,9,Ellis Partners Management Solutions,2,R03.3
122,123,What are your most highly used and liked features?,"Reporting, data insight, survey response tool, lLearning paths functionality, user interface, targeted training.",Product and Organization Overview,10,Ellis Partners Management Solutions,2,R03.3
123,124,What is your release plan or timeline?,"Releases are delivered multiple times per week, usually in small batches.  Timelines for the small features are estimated at the same time as the estimate for the effort/cost, and business leaders decide their priority.  Timelines for the larger features or infrastructure are more general, proceeding as time is available between the small features.",Product and Organization Overview,11,Ellis Partners Management Solutions,2,R03.3
124,125,How are releases managed?,"Everything is tracked and documented in version control, specifically Github.  The most recent production version is tracked separately from the active work on new features, so that hot fixes can be applied to the production version quickly; hot fixes are then merged back into the main development branch.  When larger features are ready to deploy, we perform a mix of automated and manual testing, and often a “beta” preview to measure user-acceptance before deploying the new version.",Product and Organization Overview,12,Ellis Partners Management Solutions,2,R03.3
125,126,How do you determine scope for a release?,"Release scope is often kept small, so that features can be released as they are completed and pass user acceptance.  Business leaders communicate the priorities to the developers, and larger features are kept on separate development branches, so that if priorities change or a feature takes longer than expected, it can be put to the side to allow a release of other smaller features.  A new release is delivered every time a useful set of changes has passed acceptance and testing.",Product and Organization Overview,13,Ellis Partners Management Solutions,2,R03.3
126,127,"What is your revenue model for the product? [Subscription based, one time purchase, Freemium, support fees, etc.]","Subscription based for resident surveys, eLearing and policies and procedures.  Pay as you go for shops.",Product and Organization Overview,14,Ellis Partners Management Solutions,2,R03.3
127,128,Do you conduct Alpha/Beta tests?,Rarely - sometimes we give select customers previews of new features.,Product and Organization Overview,15,Ellis Partners Management Solutions,2,R03.3
128,129,How do you onboard new Product team members?,N/A - Turnover is very low if not existent,Product and Organization Overview,16,Ellis Partners Management Solutions,2,R03.3
129,130,What would be your investment priorities for a capital infusion?,N/A,Architecture and Hosting,17,Ellis Partners Management Solutions,2,R03.3
